TBLID,GEOID,GEONAME,PROFLN,ESTIMATE,MG_ERROR
TITLE:,MEDIAN HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,
R1901,05000US13117,"Forsyth County, Georgia",64,"112,108","+/-4,407"
R1901,05000US13121,"Fulton County, Georgia",64,"80,013","+/-2,733"
R1901,05000US13127,"Glynn County, Georgia",64,"59,004","+/-4,958"
R1901,05000US13135,"Gwinnett County, Georgia",64,"72,109","+/-2,338"
R1901,05000US13139,"Hall County, Georgia",64,"67,467","+/-6,118"
R1901,05000US13151,"Henry County, Georgia",64,"71,939","+/-6,110"
R1901,05000US13153,"Houston County, Georgia",64,"66,740","+/-8,140"
R1901,05000US13157,"Jackson County, Georgia",64,"65,063","+/-8,857"
R1901,05000US13185,"Lowndes County, Georgia",64,"45,683","+/-7,502"
R1901,05000US13215,"Muscogee County, Georgia",64,"46,934","+/-3,607"
R1901,05000US13217,"Newton County, Georgia",64,"57,254","+/-6,290"
R1901,05000US13223,"Paulding County, Georgia",64,"75,800","+/-5,246"
R1901,05000US13245,"Richmond County, Georgia",64,"44,973","+/-3,469"
R1901,05000US13247,"Rockdale County, Georgia",64,"60,560","+/-7,015"
R1901,05000US13255,"Spalding County, Georgia",64,"51,677","+/-8,133"
R1901,05000US13285,"Troup County, Georgia",64,"46,198","+/-6,339"
R1901,05000US13295,"Walker County, Georgia",64,"47,856","+/-7,456"
R1901,05000US13297,"Walton County, Georgia",64,"66,176","+/-5,653"
R1901,05000US13313,"Whitfield County, Georgia",64,"52,198","+/-6,614"
R1901,05000US15001,"Hawaii County, Hawaii",64,"67,075","+/-4,804"
R1901,05000US15003,"Honolulu County, Hawaii",64,"87,470","+/-2,197"
R1901,05000US15007,"Kauai County, Hawaii",64,"81,971","+/-12,731"
R1901,05000US15009,"Maui County, Hawaii",64,"80,754","+/-7,209"
R1901,05000US16001,"Ada County, Idaho",64,"72,021","+/-3,159"
R1901,05000US16005,"Bannock County, Idaho",64,"51,989","+/-5,270"
