GEOID,NAME,ESTIMATE
17077,"Jackson County, Illinois",37802
17079,"Jasper County, Illinois",54951
17081,"Jefferson County, Illinois",47617
17083,"Jersey County, Illinois",56747
17085,"Jo Daviess County, Illinois",57083
17087,"Johnson County, Illinois",50923
17089,"Kane County, Illinois",76912
17091,"Kankakee County, Illinois",57981
17093,"Kendall County, Illinois",91764
17095,"Knox County, Illinois",43709
17097,"Lake County, Illinois",86244
17099,"LaSalle County, Illinois",56243
17101,"Lawrence County, Illinois",45654
17103,"Lee County, Illinois",57901
17105,"Livingston County, Illinois",56200
17107,"Logan County, Illinois",57899
17109,"McDonough County, Illinois",43724
17111,"McHenry County, Illinois",84803
17113,"McLean County, Illinois",65813
17115,"Macon County, Illinois",50444
17117,"Macoupin County, Illinois",53778
17119,"Madison County, Illinois",57890
17121,"Marion County, Illinois",46102
17123,"Marshall County, Illinois",55901
17125,"Mason County, Illinois",45596
17127,"Massac County, Illinois",42604
17129,"Menard County, Illinois",69102
17131,"Mercer County, Illinois",58011
17133,"Monroe County, Illinois",81268
17135,"Montgomery County, Illinois",50304
17137,"Morgan County, Illinois",48508
17139,"Moultrie County, Illinois",59623
17141,"Ogle County, Illinois",59707
17143,"Peoria County, Illinois",54770
17145,"Perry County, Illinois",48298
17147,"Piatt County, Illinois",69271
17149,"Pike County, Illinois",42664
17151,"Pope County, Illinois",40671
17153,"Pulaski County, Illinois",33799
17155,"Putnam County, Illinois",65034
17157,"Randolph County, Illinois",52107
17159,"Richland County, Illinois",48724
17161,"Rock Island County, Illinois",52630
17163,"St. Clair County, Illinois",53681
17165,"Saline County, Illinois",41167
17167,"Sangamon County, Illinois",60466
17169,"Schuyler County, Illinois",46151
17171,"Scott County, Illinois",53973
17173,"Shelby County, Illinois",51157
17175,"Stark County, Illinois",52260
17177,"Stephenson County, Illinois",48016
17179,"Tazewell County, Illinois",62342
17181,"Union County, Illinois",49182
17183,"Vermilion County, Illinois",45384
17185,"Wabash County, Illinois",51432
17187,"Warren County, Illinois",49607
17189,"Washington County, Illinois",59469
